date,sku,quantity_sold,quantity_on_hand,price,lead_time_days,holding_cost,ordering_cost,stockout_cost,category,region,promotion
2024-01-28,PROD-A,54,113,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-29,PROD-A,46,59,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-30,PROD-A,58,103,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-31,PROD-A,51,52,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-01,PROD-A,49,101,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-02,PROD-A,56,52,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-03,PROD-A,43,109,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-04,PROD-A,62,66,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-05,PROD-A,47,104,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-06,PROD-A,55,57,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-07,PROD-A,50,107,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-08,PROD-A,58,49,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-09,PROD-A,44,91,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-10,PROD-A,53,47,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-11,PROD-A,48,94,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-12,PROD-A,57,46,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-13,PROD-A,45,89,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-14,PROD-A,94,44,29.99,7,0.10,50.0,10.0,Electronics,North,1
2024-02-15,PROD-A,52,80,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-16,PROD-A,49,28,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-17,PROD-A,56,79,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-18,PROD-A,42,23,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-19,PROD-A,61,62,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-20,PROD-A,47,115,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-21,PROD-A,54,68,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-22,PROD-A,50,114,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-23,PROD-A,58,64,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-24,PROD-A,46,106,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-25,PROD-A,53,53,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-26,PROD-A,59,94,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-27,PROD-A,44,35,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-28,PROD-A,51,84,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-02-29,PROD-A,55,33,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-03-01,PROD-A,48,78,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-01,PROD-B,23,100,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-02,PROD-B,28,77,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-03,PROD-B,19,49,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-04,PROD-B,31,118,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-05,PROD-B,45,93,49.99,10,0.15,75.0,15.0,Apparel,South,1
2024-01-06,PROD-B,47,66,49.99,10,0.15,75.0,15.0,Apparel,South,1
2024-01-07,PROD-B,35,131,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-08,PROD-B,22,109,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-09,PROD-B,29,87,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-10,PROD-B,24,63,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-11,PROD-B,26,137,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-12,PROD-B,41,111,49.99,10,0.15,75.0,15.0,Apparel,South,1
2024-01-13,PROD-B,43,90,49.99,10,0.15,75.0,15.0,Apparel,South,1
2024-01-14,PROD-B,28,57,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-15,PROD-B,25,129,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-16,PROD-B,20,104,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-17,PROD-B,30,84,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-18,PROD-B,26,54,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-19,PROD-B,34,120,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-20,PROD-B,23,86,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-21,PROD-B,27,63,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-22,PROD-B,24,136,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-23,PROD-B,29,112,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-24,PROD-B,21,83,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-25,PROD-B,28,62,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-26,PROD-B,32,130,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-27,PROD-B,25,98,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-28,PROD-B,27,73,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-29,PROD-B,23,146,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-30,PROD-B,30,123,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-31,PROD-B,26,93,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-01,PROD-B,24,67,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-02,PROD-B,29,138,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-03,PROD-B,22,109,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-04,PROD-B,31,87,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-05,PROD-B,25,56,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-06,PROD-B,28,131,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-07,PROD-B,26,103,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-08,PROD-B,30,77,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-09,PROD-B,23,147,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-10,PROD-B,27,124,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-11,PROD-B,24,99,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-12,PROD-B,29,75,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-13,PROD-B,22,146,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-14,PROD-B,51,124,49.99,10,0.15,75.0,15.0,Apparel,South,1
2024-02-15,PROD-B,25,93,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-16,PROD-B,28,68,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-17,PROD-B,26,140,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-18,PROD-B,30,110,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-19,PROD-B,23,80,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-20,PROD-B,27,153,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-21,PROD-B,24,126,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-22,PROD-B,29,99,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-23,PROD-B,22,170,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-24,PROD-B,31,148,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-25,PROD-B,25,117,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-26,PROD-B,28,92,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-27,PROD-B,26,164,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-28,PROD-B,30,134,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-02-29,PROD-B,23,104,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-03-01,PROD-B,27,177,49.99,10,0.15,75.0,15.0,Apparel,South,0
2024-01-01,PROD-C,67,300,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-02,PROD-C,73,233,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-03,PROD-C,58,160,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-04,PROD-C,81,202,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-05,PROD-C,69,121,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-06,PROD-C,75,152,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-07,PROD-C,62,77,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-08,PROD-C,78,215,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-09,PROD-C,64,137,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-10,PROD-C,71,173,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-11,PROD-C,66,102,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-12,PROD-C,84,136,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-13,PROD-C,59,52,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-14,PROD-C,77,193,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-15,PROD-C,63,116,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-16,PROD-C,72,153,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-17,PROD-C,68,81,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-18,PROD-C,76,113,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-19,PROD-C,61,37,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-20,PROD-C,79,176,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-21,PROD-C,65,97,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-22,PROD-C,74,132,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-23,PROD-C,67,58,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-24,PROD-C,82,91,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-25,PROD-C,60,9,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-26,PROD-C,78,149,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-27,PROD-C,64,71,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-28,PROD-C,73,107,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-29,PROD-C,69,34,19.99,5,0.08,40.0,8.0,Home,East,0
2024-01-30,PROD-C,75,65,19.99,5,0.08,40.0,8.0,Home,East,0
